                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1225,                0.92201,                 1.1456,                 0.0003,                0.09091,                0.00022,                  2e-05,                 3.5437,                  21066,                 21.916,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.0261,                0.91144,                 1.1594,                0.00091,                0.27273,                 0.0006,                 0.0001,                  4.144,                  20460,                 10.924,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.0157,                0.91871,                 1.1436,                0.00091,                0.27273,                 0.0006,                 0.0001,                  4.144,                  20460,                 10.924,               0.001013,               0.001013,               0.001013
                     48,                 1.1508,                0.99714,                 1.2326,                 0.0003,                0.09091,                0.00019,                  2e-05,                 3.6984,                  18710,                 6.8484,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.0772,                 1.0595,                 1.2422,                 0.0003,                0.09091,                0.00019,                  2e-05,                 3.6984,                  18710,                 6.8484,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.0084,                0.96472,                 1.2026,                 0.0003,                0.09091,                0.00019,                  2e-05,                 3.8636,                  12827,                 5.5401,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.1168,                0.99061,                 1.2566,                 0.0003,                0.09091,                0.00019,                  2e-05,                 3.8636,                  12827,                 5.5401,                0.00101,                0.00101,                0.00101
                     52,                0.99984,                0.78592,                 1.1452,                 0.0003,                0.09091,                0.00019,                  4e-05,                 4.0069,                 7109.9,                 11.899,                0.00101,                0.00101,                0.00101
                     53,                 1.0878,                0.93951,                 1.2477,                 0.0003,                0.09091,                0.00019,                  4e-05,                 4.0069,                 7109.9,                 11.899,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1525,                 0.9982,                 1.3676,                 0.0003,                0.09091,                0.00019,                  2e-05,                 4.2205,                  10829,                 10.078,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0013,                0.87343,                 1.1513,                 0.0003,                0.09091,                0.00019,                  2e-05,                 4.2205,                  10829,                 10.078,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0038,                0.85284,                 1.2022,                0.00061,                0.18182,                0.00036,                0.00017,                 3.1593,                 2046.7,                  7.188,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0228,                 0.8716,                 1.1984,                0.00061,                0.18182,                0.00036,                0.00017,                 3.1593,                 2046.7,                  7.188,               0.000911,               0.000911,               0.000911
                     58,                 1.1676,                0.88875,                 1.2606,                0.00497,                0.63636,                0.00382,                0.00246,                 1.6511,                 1137.4,                 4.8876,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0138,                0.85363,                 1.1676,                0.00497,                0.63636,                0.00382,                0.00246,                 1.6511,                 1137.4,                 4.8876,              0.0008714,              0.0008714,              0.0008714
                     60,                0.91778,                0.83103,                 1.1051,                0.00717,                0.63636,                 0.0057,                0.00362,                 1.4546,                 289.57,                 2.3602,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1751,                0.87767,                 1.3156,                0.00717,                0.63636,                 0.0057,                0.00362,                 1.4546,                 289.57,                 2.3602,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.016,                0.75288,                 1.1789,                0.03804,                0.72727,                0.06784,                0.04958,                 1.1564,                 31.743,                  1.446,               0.000812,               0.000812,               0.000812
                     63,                 0.9728,                0.77091,                 1.1096,                0.03804,                0.72727,                0.06784,                0.04958,                 1.1564,                 31.743,                  1.446,              0.0007922,              0.0007922,              0.0007922
                     64,                0.95432,                0.79754,                 1.0758,                0.18783,                0.72727,                0.55649,                0.42769,                 1.0722,                 9.5438,                  1.265,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0128,                0.82874,                  1.184,                0.18783,                0.72727,                0.55649,                0.42769,                 1.0722,                 9.5438,                  1.265,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.9249,                0.83588,                 1.1197,                0.81408,                0.72727,                0.79675,                0.58679,                 1.0657,                 4.0801,                 1.2411,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0027,                0.83731,                 1.1336,                0.81408,                0.72727,                0.79675,                0.58679,                 1.0657,                 4.0801,                 1.2411,               0.000713,               0.000713,               0.000713
                     68,                0.95611,                0.79901,                 1.1079,                0.89776,                0.79989,                0.80752,                0.58373,                 1.1262,                 2.7685,                 1.2941,              0.0006932,              0.0006932,              0.0006932
                     69,                0.96335,                 0.7831,                 1.1797,                0.89776,                0.79989,                0.80752,                0.58373,                 1.1262,                 2.7685,                 1.2941,              0.0006734,              0.0006734,              0.0006734
                     70,                0.94793,                0.69573,                  1.087,                0.89691,                0.79293,                 0.8073,                0.60353,                 1.1236,                   3.31,                 1.3385,              0.0006536,              0.0006536,              0.0006536
